county_fips,food_desert_prevalence,obesity_pct,poverty_pct,median_income_usd,education_pct,diabetes_pct,inactivity_pct
06083,17.77777777777778,30.1,13.77,95977.0,35.87,10.4,20.9
06085,19.086021505376344,22.2,6.86,159674.0,55.87,10.7,19.7
06087,30.18867924528302,28.2,11.22,109266.0,43.56,10.0,20.6
06089,37.5,28.8,12.98,71931.0,23.27,11.7,20.8
06091,0.0,31.3,12.34,60000.0,24.4,13.6,23.6
06093,42.857142857142854,32.6,16.57,55499.0,23.08,13.4,23.4
06095,19.791666666666664,32.7,9.69,99994.0,28.37,12.5,22.2
06097,13.0,28.2,8.57,102840.0,37.85,10.3,18.3
06099,42.5531914893617,34.5,13.15,79661.0,19.14,11.3,25.6
06101,38.095238095238095,31.6,14.77,75450.0,20.21,12.9,27.5
06103,54.54545454545454,31.9,15.42,61834.0,18.84,12.2,25.4
06105,40.0,32.5,18.0,53498.0,18.05,14.6,25.1
06107,53.84615384615385,37.6,17.76,69489.0,15.84,13.1,30.5
06109,9.090909090909092,30.4,10.72,72259.0,23.94,11.9,20.8
06111,15.517241379310345,28.9,9.02,107327.0,35.67,11.5,21.6
06113,41.46341463414634,26.2,16.26,88818.0,44.08,9.7,23.6
06115,42.857142857142854,32.5,15.32,73313.0,17.9,11.2,25.1
08001,47.42268041237113,34.2,9.42,91387.0,28.02,9.6,23.1
08003,50.0,30.2,18.23,51445.0,29.31,10.4,23.0
08005,34.01360544217687,25.7,8.5,97215.0,45.74,8.2,17.5
08007,50.0,25.1,8.33,76524.0,40.71,10.9,18.2
08009,50.0,30.2,24.08,40380.0,24.08,12.9,26.2
08011,100.0,32.7,31.7,49194.0,14.17,12.9,26.6
08013,29.411764705882355,18.0,11.45,102772.0,63.91,6.7,12.5
08014,5.555555555555555,24.7,4.95,121025.0,58.64,7.0,12.9
08015,20.0,25.7,9.97,70909.0,45.42,10.6,20.1
08017,0.0,27.3,11.41,67768.0,24.4,10.2,19.6
08019,33.33333333333333,25.9,6.8,96667.0,56.26,8.5,15.1
08021,0.0,30.3,13.78,47209.0,23.28,13.8,25.2
08023,100.0,33.6,22.33,36519.0,27.85,17.7,31.1
08025,0.0,33.6,18.24,47563.0,12.66,11.3,25.0
08027,100.0,27.4,9.68,72700.0,35.27,12.5,20.3
08029,14.285714285714285,28.5,14.21,58330.0,25.68,11.6,21.7
08031,39.58333333333333,23.6,11.21,91681.0,55.65,7.2,20.4
08033,100.0,27.1,18.78,70490.0,24.71,10.3,19.3
08035,1.639344262295082,21.4,3.23,145737.0,60.93,6.9,12.2
08037,0.0,23.2,8.27,103174.0,50.27,7.8,15.8
08039,14.285714285714285,25.7,5.33,129477.0,35.17,9.1,17.0
08041,38.46153846153847,27.7,8.53,87470.0,41.12,8.3,18.3
08043,57.14285714285714,29.3,13.98,61027.0,21.04,11.2,21.3
08045,0.0,26.9,9.07,86172.0,33.41,8.4,18.8
08047,0.0,26.5,9.98,88654.0,48.38,9.5,16.5
08049,0.0,25.4,9.01,84558.0,41.78,8.5,15.8
08051,50.0,22.8,13.08,77358.0,59.27,6.4,12.9
08053,0.0,25.7,4.47,64327.0,47.05,10.7,16.6
08055,50.0,28.5,17.51,52139.0,27.06,13.9,24.5
08057,0.0,28.9,18.22,41809.0,27.54,12.9,23.5
08059,17.391304347826086,25.1,6.7,107800.0,50.75,8.2,14.2
08061,100.0,29.1,12.79,56389.0,20.63,12.1,24.8
08063,66.66666666666666,30.1,9.14,59810.0,18.44,10.7,20.8
08065,50.0,26.5,7.22,93655.0,46.08,7.9,15.1
08067,0.0,24.9,12.45,85296.0,47.26,8.2,14.9
08069,30.136986301369863,20.4,11.09,91364.0,51.74,6.9,13.2
08071,100.0,30.9,17.39,50408.0,17.27,13.7,26.5
08073,50.0,30.1,10.34,54257.0,25.72,10.3,22.5
08075,83.33333333333334,29.3,13.08,55074.0,18.91,10.4,22.7
08077,48.275862068965516,29.9,11.17,71485.0,30.63,9.4,19.2
08079,0.0,27.0,13.02,52455.0,54.53,10.6,19.4
08081,75.0,29.7,11.65,70975.0,21.0,10.3,23.5
08083,42.857142857142854,30.3,13.2,63005.0,30.81,11.6,22.2
08085,50.0,33.0,11.91,66072.0,28.27,11.0,20.7
08087,50.0,30.9,12.27,75407.0,17.57,9.9,21.5
08089,42.857142857142854,31.1,23.6,54897.0,18.8,14.5,29.7
08091,0.0,25.1,5.04,84556.0,53.96,10.2,16.2
